Name,Role,Company,Score,Intent,Reasoning
"Beverly Serfati","Marketing Assistant","Wordware",40,"Low","Rule: 10 + AI: 30"
"Lilian Scoone","Junior Executive","Edgeclub",50,"Medium","Rule: 20 + AI: 30"
"Gisella Lamswood","Design Engineer","Edgeify",40,"Low","Rule: 10 + AI: 30"
"Liz Boothman","VP Product Management","Realmix",60,"Medium","Rule: 30 + AI: 30"
"Emmerich Janks","Software Consultant","Trilia",40,"Low","Rule: 10 + AI: 30"
"Edie Wyon","Product Engineer","Brainsphere",40,"Low","Rule: 10 + AI: 30"
"Heinrick Sandon","Account Coordinator","Linkbridge",40,"Low","Rule: 10 + AI: 30"
"Dudley Mosten","Research Associate","Chatterbridge",40,"Low","Rule: 10 + AI: 30"
"Kelci Simpkiss","VP Product Management","Livetube",60,"Medium","Rule: 30 + AI: 30"
"Abbey Hordell","Sales Associate","Kazio",40,"Low","Rule: 10 + AI: 30"
"Adena Escot","Research Nurse","Brainlounge",40,"Low","Rule: 10 + AI: 30"
"Kirsti Esseby","Associate Professor","Dabshots",40,"Low","Rule: 10 + AI: 30"
"Doretta Elsmor","Financial Analyst","Vimbo",40,"Low","Rule: 10 + AI: 30"
"Charlotta M'Quharge","Database Administrator III","Tagopia",50,"Medium","Rule: 20 + AI: 30"
"Trevor Varcoe","Database Administrator II","Edgeify",40,"Low","Rule: 10 + AI: 30"
"Shannon Hellen","GIS Technical Architect","Skyble",40,"Low","Rule: 10 + AI: 30"
"Eugene Lowman","Editor","Topicstorm",40,"Low","Rule: 10 + AI: 30"
"Kaylee Stanett","General Manager","Plajo",50,"Medium","Rule: 20 + AI: 30"
"Valentia Rous","Media Manager II","Midel",50,"Medium","Rule: 20 + AI: 30"
"Karleen Hargreave","Human Resources Assistant II","Eazzy",40,"Low","Rule: 10 + AI: 30"
"Rubia Micklem","Financial Advisor","Realbuzz",40,"Low","Rule: 10 + AI: 30"
"Mortimer Yelyashev","Graphic Designer","Einti",40,"Low","Rule: 10 + AI: 30"
"Nikki Cloutt","GIS Technical Architect","Twitterlist",40,"Low","Rule: 10 + AI: 30"
"Cammy Pressman","VP Accounting","Twiyo",60,"Medium","Rule: 30 + AI: 30"
"Horace Anthill","VP Product Management","Skiba",60,"Medium","Rule: 30 + AI: 30"
"Cybill Bonds","Data Coordinator","Geba",40,"Low","Rule: 10 + AI: 30"
"Kylie Nail","Computer Systems Analyst II","Aimbu",40,"Low","Rule: 10 + AI: 30"
"Harland Whale","Pharmacist","Ooba",40,"Low","Rule: 10 + AI: 30"
"Melinde Lewing","Office Assistant I","Flipopia",50,"Medium","Rule: 20 + AI: 30"
"Celina Tennison","Web Developer II","Katz",40,"Low","Rule: 10 + AI: 30"
"Clementina Hazelby","Librarian","Skinder",40,"Low","Rule: 10 + AI: 30"
"Northrop Nation","Developer I","Cogilith",40,"Low","Rule: 10 + AI: 30"
"Abrahan Aymer","Research Associate","Twimm",40,"Low","Rule: 10 + AI: 30"
"Andeee Connechy","VP Marketing","Devshare",70,"Medium","Rule: 40 + AI: 30"
"Bamby Gaddes","Graphic Designer","Gigashots",40,"Low","Rule: 10 + AI: 30"
"Inesita Knight","Assistant Manager","Vidoo",60,"Medium","Rule: 30 + AI: 30"
"Nickey O'Fielly","Human Resources Assistant IV","Feedspan",40,"Low","Rule: 10 + AI: 30"
"Marthena Chaperling","Mechanical Systems Engineer","Kazio",40,"Low","Rule: 10 + AI: 30"
"Tracy Blackbrough","Administrative Assistant II","Tazzy",40,"Low","Rule: 10 + AI: 30"
"Silvain Noteyoung","Librarian","Vipe",40,"Low","Rule: 10 + AI: 30"
"Karena Spottiswood","Nurse","Realcube",40,"Low","Rule: 10 + AI: 30"
"Fabio Palia","Staff Scientist","Photospace",40,"Low","Rule: 10 + AI: 30"
"Skippie Klaaassen","Research Assistant II","Twinte",40,"Low","Rule: 10 + AI: 30"
"Levey Philippet","Director of Sales","Topicware",70,"Medium","Rule: 40 + AI: 30"
"Flory Vinall","VP Accounting","Trupe",60,"Medium","Rule: 30 + AI: 30"
"Padraic Van den Oord","Internal Auditor","Topdrive",40,"Low","Rule: 10 + AI: 30"
"Micaela Flude","Automation Specialist III","Viva",40,"Low","Rule: 10 + AI: 30"
"Foster Turvie","Speech Pathologist","Roodel",50,"Medium","Rule: 20 + AI: 30"
"Sheridan Palk","Assistant Professor","Skaboo",40,"Low","Rule: 10 + AI: 30"
"Georgia Cauderlie","Health Coach II","Tagchat",50,"Medium","Rule: 20 + AI: 30"
